Title,Body HTML,Vendor,URL
"Umbra Grand Can, High-Gloss, Black","Built with tough, long-lasting polypropylene material",umbra,https://www.staples.ca/products/1029484-en-umbra-grand-can-high-gloss-black
"Groundskeeper Tuscan Cigarette Waste Collector, Black","Column-style design. Slide-out canister ash collection system, is a ""no stoop"" ergonomic emptying design. Moulded-in-colour polymer body with UV inhibitors, will not fade, chip, or rust. Contrasting colour silk-screened cigarette symbol, draws attention to units function. Powder-coated aluminum cap will not burn or melt. Galvanized steel ash canister. Heavy steel base plate, will not fall over under windy conditions or if bumped. Fastener and cable security kit available, model NI688. 13"" L x 13"" W x 38 1/2"" H. Weight: 12.6 lbs.",rubbermaid,https://www.staples.ca/products/1938799-en-groundskeeper-tuscan-cigarette-waste-collector-black
"Step Cans, Bio Hazard Decal, 12 Pack","Keep all of your waste in one safe and sanitary place with this durable and spacious garbage bin from Rubbermaid.  Garbage bin includes null, compartments.  With its convenient step lid, clean up just got a lot faster.",rubbermaid,https://www.staples.ca/products/1938887-en-step-cans-bio-hazard-decal-12-pack
"Umbra Treela Can, Barnwood",Sturdy moulded plastic construction that's built to last,umbra,https://www.staples.ca/products/238641-en-umbra-treela-can-barnwood
Groundskeeper Cigarette Waste Collectors,"Restricted opening shields cigarette butts from view, weather and reduces oxygen flow, quickly extinguishing cigarettes. Galvanised steel canister securely holds large quantities of cigarette waste. Two-piece design makes cleaning quick and easy",rubbermaid,https://www.staples.ca/products/1938802-en-groundskeeper-cigarette-waste-collectors
"Round Brute Containers, Grey, 3 Pack","Extra strong polyethylene construction withstands bumps and kicks; will not rust, chip or peel. Nest for easy storage and cleans easily due to seamless construction. Built-in handles, double ribbed base and molded base grip for two-handed lifting. Choice of snap-on flat lid or dome top. Accepted for use in Canadian food processing facilities. UV stabilizer added for maximum life in outdoor setting",rubbermaid,https://www.staples.ca/products/1938821-en-round-brute-containers-grey-3-pack
"Square Brute Containers, Brute container, Capacity US Gal., 28","Extra strong polyethylene construction withstands bumps and kicks; will not rust, chip or peel. Offers 14% more capacity than round containers. Built-in handles, double-ribbed base for increased stability and dragging capacity and seamless construction with rounded corners for easy cleaning. Twist-on dolly for easy mobilityStrong, snap-on lid keeps odours in. UV stabilizers added for maximum life in outdoor settings. Grey and white are USDA Meat and Poultry Equipment Group listed. Assists in complying to HACCP. Certified to NSF standard #2 and #21",rubbermaid,https://www.staples.ca/products/1938878-en-square-brute-containers-brute-container-capacity-us-gal-28
"Steel Waste Containers, Capacity US Gal., 11",22-gauge cold-rolled steel construction ensures maximum fire protection. Lower body reinforced with 22-gauge support bars. Concealed pedestal base of 22-gauge steel. Standard plastic bag holder apparatus. Finished in white epoxy powder paint with black vinyl trim. Optional lightweight 26-gauge galvanised steel liner,frost,https://www.staples.ca/products/1938882-en-steel-waste-containers-capacity-us-gal-11
"Untouchable Containers, Dimensions L"" x W"" x H"", 16 x 16 x 4, 2 Pack","Durable tough polyethylene construction, crack resistant and ideal for indoor or outdoor use. Ideal for hotel lobbies, restrooms, shopping malls, restaurants and snack areas. Optional swing top or flat top swings open freely",rubbermaid,https://www.staples.ca/products/1938895-en-untouchable-containers-dimensions-l-x-w-x-h-16-x-16-x-4-2-pack
"Infinitysmoking Management Solutions, Wall-Mount, Capacity gal., 0.60 gal.",Sophisticated styling and all-metal construction for attractive and efficient smoking litter management. High-capacity receptacles for heavy traffic areas. Stainless steel snuffplate minimizes smoldering. Integrated padlock tabs provide security against tampering and theft. Weighted bases and bolt-down options for added stability outdoors. 360 deg disposal area with domed tops for weather resistance. Unobstructed funnels to reduce jamming during cigarette disposal,rubbermaid,https://www.staples.ca/products/1938806-en-infinitysmoking-management-solutions-wall-mount-capacity-gal-060-gal
